project,tags,country,site,latitude,longitude,reef_type,reef_zone,reef_exposure,reef_slope,tide,current,visibility,relative_depth,management,management_secondary,management_est_year,management_size,management_parties,management_compliance,management_rules,sample_date,sample_time,depth,transect_length,transect_width,assigned_transect_width_m,size_bin,observers,transect_number,label,fish_family,fish_genus,fish_taxon,size,biomass_constant_a,biomass_constant_b,biomass_constant_c,count,biomass_kgha,trophic_level,trophic_group,functional_group,vulnerability,data_policy_beltfish,project_notes,site_notes,management_notes,sample_unit_id,sample_event_id,project_admins,contact_link
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",132,NA,Haemulidae,Haemulon,Haemulon sciurus,22,0.031917,2.8819,1,1,117.96,3.48,invertivore-mobile,macro-invertivore,35.33,public,NA,NA,NA,f7fde24f-8a09-41d3-9d07-8e037155609c,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",132,NA,Haemulidae,Haemulon,Haemulon flavolineatum,12,0.012454,3.063327,1,1,12.59,3.46,invertivore-mobile,macro-invertivore,31.73,public,NA,NA,NA,f7fde24f-8a09-41d3-9d07-8e037155609c,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",132,NA,Acanthuridae,Acanthurus,Acanthurus coeruleus,6,0.02147,3.022,1,1,2.41,2,herbivore-macroalgae,browser,58.55,public,NA,NA,NA,f7fde24f-8a09-41d3-9d07-8e037155609c,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",132,NA,Scaridae,Sparisoma,Sparisoma viride,3,0.0138,3.05,1,2,0.39,2,herbivore-detritivore,excavator,31.4,public,NA,NA,NA,f7fde24f-8a09-41d3-9d07-8e037155609c,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",132,NA,Scaridae,Sparisoma,Sparisoma viride,6,0.0138,3.05,1,1,1.63,2,herbivore-detritivore,excavator,31.4,public,NA,NA,NA,f7fde24f-8a09-41d3-9d07-8e037155609c,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",132,NA,Scaridae,Scarus,Scarus iseri,3,0.0158,3.0515,1,5,1.13,2,herbivore-detritivore,scraper,17.19,public,NA,NA,NA,f7fde24f-8a09-41d3-9d07-8e037155609c,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",132,NA,Labridae,Thalassoma,Thalassoma bifasciatum,5,0.0107,2.916,1,2,1.17,3.49,planktivore,planktivore,19.56,public,NA,NA,NA,f7fde24f-8a09-41d3-9d07-8e037155609c,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",132,NA,Labridae,Thalassoma,Thalassoma bifasciatum,3,0.0107,2.916,1,4,0.53,3.49,planktivore,planktivore,19.56,public,NA,NA,NA,f7fde24f-8a09-41d3-9d07-8e037155609c,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",132,NA,Labridae,Thalassoma,Thalassoma bifasciatum,6,0.0107,2.916,1,1,0.99,3.49,planktivore,planktivore,19.56,public,NA,NA,NA,f7fde24f-8a09-41d3-9d07-8e037155609c,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",132,NA,Scaridae,Sparisoma,Sparisoma aurofrenatum,3,0.0117,3.15,1,5,0.93,2,herbivore-detritivore,excavator,22.3,public,NA,NA,NA,f7fde24f-8a09-41d3-9d07-8e037155609c,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",132,NA,Pomacentridae,Stegastes,Stegastes planifrons,5,0.02042,2.97,1,1,1.22,2.82,omnivore,cropper/grazer,23.52,public,NA,NA,NA,f7fde24f-8a09-41d3-9d07-8e037155609c,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",132,NA,Pomacentridae,Abudefduf,Abudefduf saxatilis,7,0.023283,2.877253,1,2,6.29,2.76,omnivore,planktivore,32.28,public,NA,NA,NA,f7fde24f-8a09-41d3-9d07-8e037155609c,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",132,NA,Pomacentridae,Stegastes,Stegastes leucostictus,6,0.0277,2.8711,1,2,4.75,3.09,omnivore,micro-invertivore,20.93,public,NA,NA,NA,f7fde24f-8a09-41d3-9d07-8e037155609c,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",132,NA,Haemulidae,Haemulon,Haemulon plumierii,18,0.016517,2.970979,1,1,44.29,3.82,piscivore,pisci-invertivore,61.75,public,NA,NA,NA,f7fde24f-8a09-41d3-9d07-8e037155609c,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",134,NA,Pomacentridae,Stegastes,Stegastes partitus,1,0.0123,3.05,1,1,0.01,2,herbivore-detritivore,cropper/grazer,20.93,public,NA,NA,NA,4356b30b-9e14-495e-94b6-00b647e04791,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",134,NA,Pomacentridae,Stegastes,Stegastes partitus,6,0.0123,3.05,1,1,1.45,2,herbivore-detritivore,cropper/grazer,20.93,public,NA,NA,NA,4356b30b-9e14-495e-94b6-00b647e04791,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",134,NA,Pomacentridae,Stegastes,Stegastes diencaeus,1,0.01995,2.99,1,1,0.01,2,herbivore-detritivore,cropper/grazer,24.15,public,NA,NA,NA,4356b30b-9e14-495e-94b6-00b647e04791,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",134,NA,Pomacentridae,Stegastes,Stegastes diencaeus,6,0.01995,2.99,1,12,25.4,2,herbivore-detritivore,cropper/grazer,24.15,public,NA,NA,NA,4356b30b-9e14-495e-94b6-00b647e04791,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",134,NA,Pomacentridae,Stegastes,Stegastes diencaeus,10,0.01995,2.99,1,1,9.75,2,herbivore-detritivore,cropper/grazer,24.15,public,NA,NA,NA,4356b30b-9e14-495e-94b6-00b647e04791,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",134,NA,Haemulidae,Haemulon,Haemulon sciurus,20,0.031917,2.8819,1,1,89.63,3.48,invertivore-mobile,macro-invertivore,35.33,public,NA,NA,NA,4356b30b-9e14-495e-94b6-00b647e04791,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",134,NA,Haemulidae,Haemulon,Haemulon flavolineatum,17,0.012454,3.063327,1,1,36.61,3.46,invertivore-mobile,macro-invertivore,31.73,public,NA,NA,NA,4356b30b-9e14-495e-94b6-00b647e04791,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",134,NA,Acanthuridae,Acanthurus,Acanthurus coeruleus,21,0.02147,3.022,1,1,106.3,2,herbivore-macroalgae,browser,58.55,public,NA,NA,NA,4356b30b-9e14-495e-94b6-00b647e04791,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",134,NA,Scaridae,Sparisoma,Sparisoma viride,12,0.0138,3.05,1,1,13.5,2,herbivore-detritivore,excavator,31.4,public,NA,NA,NA,4356b30b-9e14-495e-94b6-00b647e04791,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",134,NA,Scaridae,Scarus,Scarus iseri,6,0.0158,3.0515,1,2,3.74,2,herbivore-detritivore,scraper,17.19,public,NA,NA,NA,4356b30b-9e14-495e-94b6-00b647e04791,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",134,NA,Scaridae,Scarus,Scarus iseri,3,0.0158,3.0515,1,7,1.58,2,herbivore-detritivore,scraper,17.19,public,NA,NA,NA,4356b30b-9e14-495e-94b6-00b647e04791,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
